date,SHB_code,SHB_high,SHB_low,SHB_open,SHB_close,SHB_adjust,SHB_volume_match,SHB_value_match
2024-11-20,SHB,10.3,10.1,10.1,10.25,10.25,6487200.0,66074000000.0
2024-11-19,SHB,10.25,10.1,10.2,10.1,10.1,8847600.0,89838000000.0
2024-11-18,SHB,10.3,10.1,10.2,10.2,10.2,13042200.0,132789000000.0
2024-11-15,SHB,10.35,10.2,10.3,10.2,10.2,15429400.0,158372000000.0
2024-11-14,SHB,10.5,10.3,10.45,10.35,10.35,9471300.0,98415000000.0
2024-11-13,SHB,10.5,10.4,10.45,10.45,10.45,7479100.0,78123000000.0
2024-11-12,SHB,10.6,10.45,10.5,10.45,10.45,8800400.0,92473000000.0
2024-11-11,SHB,10.55,10.4,10.55,10.5,10.5,12675100.0,132732000000.0
2024-11-08,SHB,10.65,10.5,10.65,10.55,10.55,6324500.0,66764000000.0
2024-11-07,SHB,10.75,10.55,10.7,10.6,10.6,9014000.0,96043000000.0
2024-11-06,SHB,10.65,10.55,10.6,10.65,10.65,6772500.0,71834000000.0
2024-11-05,SHB,10.55,10.4,10.45,10.55,10.55,5928500.0,62164000000.0
2024-11-04,SHB,10.55,10.4,10.55,10.45,10.45,9520000.0,99772000000.0
2024-11-01,SHB,10.65,10.5,10.6,10.55,10.55,6609800.0,69890000000.0
2024-10-31,SHB,10.7,10.45,10.5,10.6,10.6,12638300.0,133947000000.0
2024-10-30,SHB,10.55,10.45,10.5,10.5,10.5,7094200.0,74366000000.0
2024-10-29,SHB,10.55,10.45,10.55,10.5,10.5,7127100.0,74730000000.0
2024-10-28,SHB,10.5,10.4,10.45,10.45,10.45,6932800.0,72510000000.0
2024-10-25,SHB,10.6,10.4,10.55,10.4,10.4,12071100.0,126724000000.0
2024-10-24,SHB,10.75,10.55,10.65,10.55,10.55,13641400.0,144779000000.0
2024-10-23,SHB,10.75,10.6,10.7,10.65,10.65,12082400.0,129005000000.0
2024-10-22,SHB,10.8,10.65,10.75,10.7,10.7,19810200.0,212622000000.0
2024-10-21,SHB,10.9,10.75,10.9,10.8,10.8,11402300.0,123460000000.0
2024-10-18,SHB,10.95,10.85,10.9,10.85,10.85,19545400.0,213023000000.0
2024-10-17,SHB,10.85,10.7,10.8,10.8,10.8,15741100.0,169228000000.0
2024-10-16,SHB,10.85,10.7,10.8,10.75,10.75,9057200.0,97574000000.0
2024-10-15,SHB,10.95,10.75,10.85,10.8,10.8,17904800.0,194266000000.0
2024-10-14,SHB,10.9,10.75,10.85,10.8,10.8,14629400.0,158226000000.0
2024-10-11,SHB,10.85,10.7,10.8,10.8,10.8,9670200.0,104171000000.0
2024-10-10,SHB,10.95,10.75,10.9,10.75,10.75,12852800.0,139453000000.0
2024-10-09,SHB,10.85,10.75,10.75,10.8,10.8,11119000.0,120140000000.0
2024-10-08,SHB,10.9,10.7,10.8,10.75,10.75,20413100.0,220265000000.0
2024-10-07,SHB,11.0,10.75,10.9,10.85,10.85,15377900.0,166963000000.0
2024-10-04,SHB,11.0,10.85,10.95,10.85,10.85,16306500.0,177935000000.0
2024-10-03,SHB,11.3,10.85,10.9,10.95,10.95,46181500.0,512252000000.0
2024-10-02,SHB,11.0,10.85,11.0,10.9,10.9,21227700.0,231965000000.0
2024-10-01,SHB,11.2,11.0,11.05,11.05,11.05,27370600.0,303232000000.0
2024-09-30,SHB,11.1,10.9,11.0,11.0,11.0,24494700.0,269578000000.0
2024-09-27,SHB,11.25,10.85,10.85,11.0,11.0,49209100.0,544059000000.0
2024-09-26,SHB,10.9,10.55,10.55,10.75,10.75,38977600.0,418327000000.0
2024-09-25,SHB,10.6,10.45,10.5,10.55,10.55,19411900.0,204316000000.0
2024-09-24,SHB,10.45,10.35,10.35,10.45,10.45,9959200.0,103493000000.0
2024-09-23,SHB,10.5,10.35,10.45,10.35,10.35,7551200.0,78590000000.0
2024-09-20,SHB,10.5,10.35,10.4,10.45,10.45,17901400.0,186912000000.0
2024-09-19,SHB,10.4,10.3,10.4,10.35,10.35,7193600.0,74555000000.0
2024-09-18,SHB,10.4,10.3,10.4,10.35,10.35,9897800.0,102637000000.0
2024-09-17,SHB,10.4,10.2,10.25,10.4,10.4,11334200.0,116583000000.0
2024-09-16,SHB,10.35,10.25,10.3,10.25,10.25,7831800.0,80452000000.0
2024-09-13,SHB,10.4,10.3,10.35,10.3,10.3,3782700.0,39063000000.0
2024-09-12,SHB,10.4,10.3,10.35,10.35,10.35,5349100.0,55286000000.0
2024-09-11,SHB,10.35,10.25,10.3,10.3,10.3,8874300.0,91208000000.0
2024-09-10,SHB,10.45,10.25,10.4,10.3,10.3,12423700.0,128412000000.0
2024-09-09,SHB,10.4,10.3,10.35,10.35,10.35,9611100.0,99473000000.0
2024-09-06,SHB,10.45,10.3,10.4,10.35,10.35,12272400.0,127190000000.0
2024-09-05,SHB,10.5,10.35,10.45,10.4,10.4,11360200.0,118373000000.0
2024-09-04,SHB,10.55,10.35,10.55,10.4,10.4,16231000.0,169402000000.0
2024-08-30,SHB,10.6,10.55,10.55,10.55,10.55,7779100.0,82260000000.0
2024-08-29,SHB,10.7,10.55,10.6,10.55,10.55,14114000.0,149507000000.0
2024-08-28,SHB,10.65,10.55,10.6,10.6,10.6,8457300.0,89629000000.0
2024-08-27,SHB,10.65,10.55,10.65,10.6,10.6,12522200.0,132786000000.0
2024-08-26,SHB,10.8,10.6,10.75,10.6,10.6,12248900.0,130805000000.0
2024-08-23,SHB,10.7,10.6,10.65,10.65,10.65,9030000.0,96153000000.0
2024-08-22,SHB,10.8,10.65,10.75,10.65,10.65,9821600.0,105332000000.0
2024-08-21,SHB,10.75,10.6,10.65,10.7,10.7,13271900.0,141654000000.0
2024-08-20,SHB,10.7,10.6,10.6,10.65,10.65,12037500.0,128046000000.0
2024-08-19,SHB,10.7,10.55,10.6,10.6,10.6,12402700.0,131643000000.0
2024-08-16,SHB,10.65,10.4,10.45,10.6,10.6,15104000.0,159343000000.0
2024-08-15,SHB,10.5,10.3,10.45,10.4,10.4,11415400.0,118663000000.0
2024-08-14,SHB,10.55,10.45,10.5,10.45,10.45,5789500.0,60685000000.0
2024-08-13,SHB,10.55,10.45,10.5,10.5,10.5,6489400.0,68054000000.0
2024-08-12,SHB,10.55,10.4,10.5,10.5,10.5,7976300.0,83606000000.0
2024-08-09,SHB,10.55,10.4,10.45,10.5,10.5,9878000.0,103628000000.0
2024-08-08,SHB,10.55,10.35,10.5,10.4,10.4,13153800.0,137454000000.0
2024-08-07,SHB,10.6,10.45,10.55,10.5,10.5,9209600.0,96719000000.0
2024-08-06,SHB,10.55,10.3,10.4,10.5,10.5,19137900.0,199491000000.0
2024-08-05,SHB,10.75,10.25,10.75,10.3,10.3,30022700.0,314982000000.0
2024-08-02,SHB,10.9,10.65,10.9,10.85,10.85,24435500.0,263494000000.0
2024-08-01,SHB,11.2,10.85,11.15,10.9,10.9,28793000.0,316797000000.0
2024-07-31,SHB,11.2,11.05,11.15,11.15,11.15,11129100.0,123979000000.0
2024-07-30,SHB,11.25,11.0,11.0,11.1,11.1,17592400.0,195434000000.0
2024-07-29,SHB,11.15,11.0,11.1,11.05,11.05,7447000.0,82539000000.0
2024-07-26,SHB,11.1,11.0,11.05,11.1,11.1,8538200.0,94256000000.0
2024-07-25,SHB,11.1,11.0,11.1,11.05,11.05,8500300.0,93779000000.0
2024-07-24,SHB,11.1,10.95,11.05,11.1,11.1,16962200.0,187185000000.0
2024-07-23,SHB,11.25,11.0,11.2,11.0,11.0,21581200.0,239534000000.0
