date,VCB_code,VCB_high,VCB_low,VCB_open,VCB_close,VCB_adjust,VCB_volume_match,VCB_value_match
2024-11-20,VCB,91.2,89.9,90.0,91.1,91.1,820600.0,74087000000.0
2024-11-19,VCB,91.6,90.0,91.5,90.0,90.0,1577000.0,142878000000.0
2024-11-18,VCB,92.3,90.9,91.7,91.0,91.0,1874900.0,171386000000.0
2024-11-15,VCB,92.5,91.6,92.0,91.7,91.7,1508600.0,138710000000.0
2024-11-14,VCB,92.5,91.9,92.0,92.0,92.0,1719700.0,158355000000.0
2024-11-13,VCB,92.9,91.9,91.9,92.5,92.5,1331800.0,123042000000.0
2024-11-12,VCB,93.2,91.9,92.0,91.9,91.9,1336300.0,123449000000.0
2024-11-11,VCB,92.8,91.9,92.8,92.0,92.0,1873400.0,172723000000.0
2024-11-08,VCB,93.9,92.2,93.5,92.2,92.2,1380000.0,128257000000.0
2024-11-07,VCB,93.9,93.2,93.2,93.2,93.2,1418900.0,132582000000.0
2024-11-06,VCB,93.4,92.8,92.8,92.9,92.9,1416800.0,131848000000.0
2024-11-05,VCB,93.0,92.0,92.6,92.6,92.6,1082700.0,100163000000.0
2024-11-04,VCB,95.3,92.4,94.0,92.5,92.5,1853600.0,173398000000.0
2024-11-01,VCB,94.9,93.5,94.0,93.5,93.5,1729900.0,163245000000.0
2024-10-31,VCB,95.0,91.5,91.5,93.6,93.6,2888900.0,270813000000.0
2024-10-30,VCB,92.4,91.6,92.0,91.7,91.7,626500.0,57554000000.0
2024-10-29,VCB,92.6,92.0,92.1,92.0,92.0,1297600.0,119793000000.0
2024-10-28,VCB,92.3,91.5,91.5,92.0,92.0,1105800.0,101750000000.0
2024-10-25,VCB,92.3,91.7,92.1,91.8,91.8,996300.0,91625000000.0
2024-10-24,VCB,92.3,91.4,92.2,91.7,91.7,755400.0,69385000000.0
2024-10-23,VCB,91.8,91.2,91.2,91.5,91.5,749300.0,68582000000.0
2024-10-22,VCB,92.2,91.4,92.0,91.4,91.4,1259500.0,115453000000.0
2024-10-21,VCB,93.3,92.0,92.5,92.0,92.0,1423100.0,131766000000.0
2024-10-18,VCB,93.1,92.0,92.7,92.4,92.4,1162700.0,107557000000.0
2024-10-17,VCB,92.3,91.7,92.0,92.2,92.2,1285400.0,118152000000.0
2024-10-16,VCB,91.8,91.3,91.4,91.5,91.5,1293000.0,118269000000.0
2024-10-15,VCB,92.1,91.3,91.3,91.4,91.4,1430600.0,131210000000.0
2024-10-14,VCB,92.2,91.3,92.2,91.4,91.4,930700.0,85340000000.0
2024-10-11,VCB,91.9,91.2,91.9,91.5,91.5,1083500.0,99072000000.0
2024-10-10,VCB,93.0,91.2,92.3,91.9,91.9,1325200.0,122142000000.0
2024-10-09,VCB,91.8,90.9,91.3,91.0,91.0,2175700.0,198275000000.0
2024-10-08,VCB,92.0,91.0,92.0,91.5,91.5,1123100.0,102767000000.0
2024-10-07,VCB,92.5,91.8,92.3,92.0,92.0,610700.0,56237000000.0
2024-10-04,VCB,92.8,92.3,92.5,92.3,92.3,859700.0,79564000000.0
2024-10-03,VCB,93.9,92.4,92.6,92.6,92.6,1699200.0,158158000000.0
2024-10-02,VCB,92.7,91.8,92.3,92.7,92.7,1378900.0,127016000000.0
2024-10-01,VCB,93.4,92.0,92.3,92.0,92.0,1724400.0,159985000000.0
2024-09-30,VCB,92.5,92.0,92.5,92.0,92.0,1276900.0,117809000000.0
