date,ACB_code,ACB_high,ACB_low,ACB_open,ACB_close,ACB_adjust,ACB_volume_match,ACB_value_match
2025-06-16,ACB,21.25,20.95,21.0,0.0,21.15,2355200.0,21150.0
2025-06-13,ACB,21.35,20.9,21.0,21.05,21.05,10054700.0,211884775000.0
2025-06-12,ACB,21.15,20.95,21.05,21.05,21.05,6547500.0,137868070000.0
2025-06-11,ACB,21.05,20.9,21.0,20.95,20.95,3581900.0,75105850000.0
2025-06-10,ACB,21.05,20.9,21.05,20.95,20.95,5712500.0,119878480000.0
2025-06-09,ACB,21.05,20.9,21.0,20.95,20.95,5705200.0,119541720000.0
2025-06-06,ACB,21.2,21.0,21.05,21.0,21.0,6783000.0,142732735000.0
2025-06-05,ACB,21.2,21.0,21.15,21.0,21.0,5316500.0,111996455000.0
2025-06-04,ACB,21.35,21.1,21.3,21.1,21.1,5685500.0,120671095000.0
2025-06-03,ACB,21.3,21.15,21.15,21.25,21.25,7279100.0,154461410000.0
2025-06-02,ACB,21.2,21.0,21.1,21.1,21.1,8187500.0,172499705000.0
2025-05-30,ACB,21.35,21.1,21.3,21.1,21.1,7911500.0,167581450000.0
2025-05-29,ACB,21.5,21.3,21.45,21.3,21.3,9071600.0,193829670000.0
2025-05-28,ACB,21.55,21.35,21.5,21.4,21.4,7858900.0,168555920000.0
2025-05-27,ACB,21.6,21.4,21.6,21.45,21.45,9317300.0,200151995000.0
2025-05-26,ACB,21.65,21.1,21.6,21.5,21.5,9939200.0,213148770000.0
2025-05-23,ACB,21.6,21.45,21.55,21.6,21.6,11956100.0,257603430000.0
2025-05-22,ACB,25.75,25.5,25.7,25.55,21.35,18033200.0,462233890000.0
2025-05-21,ACB,25.9,25.6,25.75,25.65,21.43,12362200.0,317682260000.0
2025-05-20,ACB,25.65,25.4,25.5,25.6,21.39,11025800.0,281736675000.0
2025-05-19,ACB,25.7,25.3,25.45,25.4,21.22,13916200.0,355213760000.0
2025-05-16,ACB,25.7,25.45,25.7,25.45,21.26,10697100.0,273254790000.0
2025-05-15,ACB,25.65,25.1,25.5,25.55,21.35,24647200.0,627355765000.0
2025-05-14,ACB,24.95,24.65,24.65,24.8,20.72,10919100.0,270604360000.0
2025-05-13,ACB,24.7,24.45,24.55,24.6,20.55,9650200.0,237285190000.0
2025-05-12,ACB,24.45,24.15,24.25,24.4,20.39,9189800.0,223357165000.0
2025-05-09,ACB,24.45,24.1,24.45,24.15,20.18,5618200.0,135989585000.0
2025-05-08,ACB,24.15,23.95,24.1,24.15,20.18,7281600.0,175155500000.0
2025-05-07,ACB,24.2,23.95,24.2,24.0,20.05,7755800.0,186485245000.0
2025-05-06,ACB,24.2,24.0,24.05,24.0,20.05,8432500.0,203014640000.0
2025-05-05,ACB,24.25,24.0,24.25,24.05,20.09,4629000.0,111381350000.0
2025-04-29,ACB,24.2,23.95,23.95,24.05,20.09,3581800.0,86057000000.0
2025-04-28,ACB,24.05,23.85,24.05,23.95,20.01,4005500.0,95826000000.0
2025-04-25,ACB,24.4,23.9,24.4,23.9,19.97,13357000.0,321147000000.0
2025-04-24,ACB,24.55,24.15,24.4,24.15,20.18,6476600.0,157166000000.0
2025-04-23,ACB,24.6,24.15,24.6,24.6,20.55,6832100.0,167092000000.0
2025-04-22,ACB,24.4,22.65,24.3,24.1,20.14,13607200.0,322436000000.0
2025-04-21,ACB,24.5,24.1,24.35,24.1,20.14,7246000.0,175685000000.0
2025-04-18,ACB,24.75,24.45,24.5,24.5,20.47,10996500.0,270494000000.0
2025-04-17,ACB,24.55,24.1,24.5,24.3,20.3,10139900.0,246486000000.0
2025-04-16,ACB,24.7,24.15,24.45,24.3,20.3,11032100.0,270127000000.0
