date,CTG_code,CTG_high,CTG_low,CTG_open,CTG_close,CTG_adjust,CTG_volume_match,CTG_value_match
2025-06-16,CTG,40.3,39.95,39.95,0.0,40.05,1534800.0,40050.0
2025-06-13,CTG,40.75,38.15,38.4,39.9,39.9,23868500.0,946370490000.0
2025-06-12,CTG,38.55,37.9,38.05,38.5,38.5,8242800.0,315648570000.0
2025-06-11,CTG,38.0,37.55,38.0,38.0,38.0,5975400.0,225512185000.0
2025-06-10,CTG,38.2,37.85,38.0,37.85,37.85,4647300.0,176486475000.0
2025-06-09,CTG,38.25,37.9,38.2,38.0,38.0,3172600.0,120525410000.0
2025-06-06,CTG,38.45,38.05,38.45,38.2,38.2,3467900.0,132521400000.0
2025-06-05,CTG,38.75,38.0,38.5,38.55,38.55,4332000.0,166062540000.0
2025-06-04,CTG,38.9,38.45,38.7,38.5,38.5,4155400.0,160258535000.0
2025-06-03,CTG,38.75,38.4,38.65,38.55,38.55,4295200.0,165672775000.0
2025-06-02,CTG,38.65,37.95,38.25,38.4,38.4,4412100.0,168255785000.0
2025-05-30,CTG,39.15,38.2,39.15,38.3,38.3,7680600.0,295659265000.0
2025-05-29,CTG,39.5,38.9,39.45,38.9,38.9,7448200.0,291277065000.0
2025-05-28,CTG,39.75,39.1,39.7,39.55,39.55,5580900.0,220123755000.0
2025-05-27,CTG,39.6,39.0,39.25,39.6,39.6,7752400.0,304648190000.0
2025-05-26,CTG,39.25,38.0,38.75,39.25,39.25,7007300.0,270041485000.0
2025-05-23,CTG,39.0,38.6,38.85,38.8,38.8,4339900.0,168218785000.0
2025-05-22,CTG,39.5,38.65,39.35,38.85,38.85,7061000.0,275984965000.0
2025-05-21,CTG,40.4,39.3,39.3,39.45,39.45,8638000.0,343553750000.0
2025-05-20,CTG,39.5,38.7,38.7,39.5,39.5,6572100.0,257458690000.0
2025-05-19,CTG,39.2,38.55,38.75,39.1,39.1,7238400.0,281636495000.0
2025-05-16,CTG,39.8,39.0,39.8,39.0,39.0,6562600.0,257458120000.0
2025-05-15,CTG,40.15,39.25,39.6,39.75,39.75,9780500.0,387233075000.0
2025-05-14,CTG,39.6,39.1,39.45,39.6,39.6,9319800.0,367386115000.0
2025-05-13,CTG,39.4,38.1,38.1,39.4,39.4,15748400.0,610102285000.0
2025-05-12,CTG,37.95,37.45,37.5,37.85,37.85,8966900.0,338326955000.0
2025-05-09,CTG,37.8,37.4,37.65,37.45,37.45,6244100.0,234457675000.0
2025-05-08,CTG,37.6,37.2,37.4,37.55,37.55,7941300.0,297463345000.0
2025-05-07,CTG,37.55,37.15,37.5,37.45,37.45,6127600.0,228572050000.0
2025-05-06,CTG,37.85,37.2,37.35,37.6,37.6,7236200.0,271536480000.0
2025-05-05,CTG,37.5,37.05,37.3,37.35,37.35,3621800.0,134860855000.0
2025-04-29,CTG,37.2,36.7,36.75,37.2,37.2,4933700.0,182610000000.0
2025-04-28,CTG,37.25,36.7,37.25,36.85,36.85,5105100.0,188127000000.0
2025-04-25,CTG,37.5,37.05,37.2,37.15,37.15,6465300.0,240701000000.0
2025-04-24,CTG,37.45,36.85,37.45,37.4,37.4,6793100.0,252545000000.0
2025-04-23,CTG,37.65,37.0,37.4,37.3,37.3,6705500.0,249926000000.0
2025-04-22,CTG,37.15,34.65,36.9,37.1,37.1,15064300.0,542588000000.0
2025-04-21,CTG,37.85,36.7,37.55,37.25,37.25,10033700.0,371920000000.0
2025-04-18,CTG,38.05,37.45,37.85,37.45,37.45,8510000.0,321126000000.0
2025-04-17,CTG,37.35,36.65,37.0,37.25,37.25,8698900.0,321744000000.0
2025-04-16,CTG,38.1,37.2,37.75,37.2,37.2,6581500.0,247248000000.0
2025-04-15,CTG,38.0,37.2,37.8,37.75,37.75,10253700.0,385896000000.0
2025-04-14,CTG,38.6,37.85,38.6,38.3,38.3,9750200.0,372266000000.0
2025-04-11,CTG,38.5,36.55,37.0,38.4,38.4,20246200.0,760898000000.0
2025-04-10,CTG,36.15,36.15,36.15,36.15,36.15,2907100.0,105091000000.0
2025-04-09,CTG,37.0,33.8,33.8,33.8,33.8,17505900.0,607187000000.0
2025-04-08,CTG,38.2,36.0,36.1,36.0,36.0,18688600.0,675863000000.0
2025-04-04,CTG,38.7,36.35,36.35,38.7,38.7,17693000.0,658176000000.0
2025-04-03,CTG,40.7,39.05,40.7,39.05,39.05,19835700.0,783261000000.0
2025-04-02,CTG,42.3,41.7,41.95,41.95,41.95,5575900.0,233867000000.0
2025-04-01,CTG,41.85,41.05,41.65,41.85,41.85,4737500.0,196559000000.0
2025-03-31,CTG,41.45,40.9,41.2,41.45,41.45,4619700.0,190395000000.0
2025-03-28,CTG,41.55,41.15,41.5,41.35,41.35,4092900.0,169110000000.0
2025-03-27,CTG,41.75,41.25,41.4,41.6,41.6,3508800.0,145474000000.0
2025-03-26,CTG,42.45,41.6,42.25,41.75,41.75,5469500.0,229358000000.0
