date,FCN_code,FCN_high,FCN_low,FCN_open,FCN_close,FCN_adjust,FCN_volume_match,FCN_value_match
2025-06-16,FCN,14.1,13.5,13.55,0.0,13.95,1403600.0,13950.0
2025-06-13,FCN,13.65,13.25,13.4,13.55,13.55,922600.0,12370380000.0
2025-06-12,FCN,13.7,13.4,13.65,13.45,13.45,869200.0,11767895000.0
2025-06-11,FCN,13.75,13.35,13.7,13.45,13.45,1117500.0,15120030000.0
2025-06-10,FCN,14.0,13.65,13.9,13.65,13.65,1081500.0,14929225000.0
2025-06-09,FCN,14.0,13.8,13.95,13.9,13.9,1048400.0,14585495000.0
2025-06-06,FCN,14.3,13.9,14.3,13.9,13.9,1228900.0,17260595000.0
2025-06-05,FCN,14.85,14.25,14.4,14.3,14.3,2675600.0,38858150000.0
2025-06-04,FCN,14.55,14.15,14.15,14.35,14.35,2196600.0,31557335000.0
2025-06-03,FCN,14.2,14.0,14.15,14.1,14.1,897700.0,12658300000.0
2025-06-02,FCN,14.0,13.7,13.75,14.0,14.0,1055600.0,14622215000.0
2025-05-30,FCN,14.2,13.8,14.1,13.85,13.85,1030000.0,14385540000.0
2025-05-29,FCN,14.45,14.05,14.1,14.2,14.2,1166500.0,16557185000.0
2025-05-28,FCN,14.3,14.05,14.3,14.05,14.05,895300.0,12685840000.0
2025-05-27,FCN,14.3,14.0,14.0,14.25,14.25,1280400.0,18177655000.0
2025-05-26,FCN,14.1,13.55,14.1,13.9,13.9,1708700.0,23578885000.0
2025-05-23,FCN,14.45,14.0,14.3,14.05,14.05,1451100.0,20595090000.0
2025-05-22,FCN,14.65,14.3,14.65,14.3,14.3,1518000.0,21890090000.0
2025-05-21,FCN,14.7,14.0,14.3,14.7,14.7,3740800.0,53624590000.0
2025-05-20,FCN,14.35,14.2,14.25,14.25,14.25,1141300.0,16285390000.0
2025-05-19,FCN,14.8,14.3,14.5,14.3,14.3,2370900.0,34466840000.0
2025-05-16,FCN,14.8,14.35,14.8,14.65,14.65,2204100.0,32102965000.0
2025-05-15,FCN,14.8,14.25,14.35,14.75,14.75,3568400.0,51744740000.0
2025-05-14,FCN,14.4,14.15,14.4,14.25,14.25,799600.0,11414105000.0
2025-05-13,FCN,14.4,14.15,14.2,14.25,14.25,837200.0,11929685000.0
2025-05-12,FCN,14.3,14.0,14.3,14.2,14.2,740300.0,10452585000.0
2025-05-09,FCN,14.75,14.2,14.5,14.2,14.2,1697000.0,24527095000.0
2025-05-08,FCN,14.55,14.35,14.55,14.5,14.5,983100.0,14195135000.0
2025-05-07,FCN,14.7,14.35,14.5,14.5,14.5,911200.0,13199320000.0
2025-05-06,FCN,14.75,14.35,14.35,14.5,14.5,1357500.0,19799260000.0
2025-05-05,FCN,14.5,14.05,14.15,14.4,14.4,785000.0,11200090000.0
2025-04-29,FCN,14.5,14.25,14.4,14.35,14.35,495900.0,7116000000.0
2025-04-28,FCN,14.8,14.3,14.4,14.4,14.4,1209000.0,17554000000.0
2025-04-25,FCN,14.65,14.0,14.25,14.5,14.5,2165800.0,30981000000.0
2025-04-24,FCN,14.25,13.9,14.25,14.25,14.25,716800.0,10086000000.0
2025-04-23,FCN,14.4,13.75,14.4,14.25,14.25,1610200.0,22633000000.0
2025-04-22,FCN,14.3,13.0,13.9,14.3,14.3,1459300.0,19696000000.0
2025-04-21,FCN,14.05,13.75,14.05,13.95,13.95,789400.0,10969000000.0
2025-04-18,FCN,14.45,14.0,14.15,14.15,14.15,1651000.0,23537000000.0
2025-04-17,FCN,14.05,13.35,13.4,14.0,14.0,1319400.0,18227000000.0
2025-04-16,FCN,13.65,13.3,13.35,13.55,13.55,1262300.0,17026000000.0
2025-04-15,FCN,13.75,13.1,13.4,13.35,13.35,1790000.0,24070000000.0
2025-04-14,FCN,13.1,12.5,12.6,13.1,13.1,1265300.0,16150000000.0
2025-04-11,FCN,12.6,12.05,12.5,12.45,12.45,1529200.0,18909000000.0
2025-04-10,FCN,11.9,11.9,11.9,11.9,11.9,61900.0,736000000.0
2025-04-09,FCN,11.9,11.05,11.05,11.15,11.15,1456900.0,16470000000.0
2025-04-08,FCN,12.7,11.85,12.7,11.85,11.85,1508800.0,18057000000.0
2025-04-04,FCN,13.0,12.25,12.45,12.7,12.7,1446800.0,18121000000.0
2025-04-03,FCN,13.8,13.15,13.5,13.15,13.15,2462500.0,32576000000.0
2025-04-02,FCN,14.35,13.95,14.05,14.1,14.1,531800.0,7548000000.0
2025-04-01,FCN,14.1,13.7,13.95,14.0,14.0,1129600.0,15682000000.0
2025-03-31,FCN,14.0,13.35,13.7,14.0,14.0,1316100.0,17829000000.0
2025-03-28,FCN,14.15,13.8,14.15,13.8,13.8,760300.0,10613000000.0
2025-03-27,FCN,14.4,14.1,14.25,14.1,14.1,1184100.0,16807000000.0
2025-03-26,FCN,14.45,14.2,14.3,14.25,14.25,680100.0,9726000000.0
2025-03-25,FCN,14.45,14.15,14.35,14.25,14.25,529000.0,7566000000.0
2025-03-24,FCN,14.3,14.05,14.2,14.25,14.25,590100.0,8357000000.0
2025-03-21,FCN,14.5,14.25,14.4,14.25,14.25,407100.0,5838000000.0
2025-03-20,FCN,14.55,14.05,14.2,14.4,14.4,882300.0,12607000000.0
2025-03-19,FCN,14.35,14.1,14.2,14.2,14.2,626600.0,8898000000.0
2025-03-18,FCN,14.4,14.15,14.3,14.15,14.15,616800.0,8790000000.0
2025-03-17,FCN,14.25,13.9,13.9,14.2,14.2,855800.0,12089000000.0
2025-03-14,FCN,14.2,13.9,14.2,13.9,13.9,1242500.0,17431000000.0
2025-03-13,FCN,14.75,13.9,14.65,14.05,14.05,2577800.0,37033000000.0
2025-03-12,FCN,15.1,14.6,15.1,14.6,14.6,1832700.0,27034000000.0
2025-03-11,FCN,15.15,14.55,14.6,14.95,14.95,2443000.0,36291000000.0
2025-03-10,FCN,15.0,14.5,14.55,14.75,14.75,2064600.0,30435000000.0
2025-03-07,FCN,15.0,14.5,14.7,14.5,14.5,1550800.0,22834000000.0
2025-03-06,FCN,15.05,14.4,14.9,14.7,14.7,3340100.0,48934000000.0
2025-03-05,FCN,15.5,14.85,15.5,14.85,14.85,1652400.0,25051000000.0
2025-03-04,FCN,15.7,15.1,15.5,15.4,15.4,1755500.0,27155000000.0
2025-03-03,FCN,15.65,15.1,15.55,15.55,15.55,1018500.0,15653000000.0
2025-02-28,FCN,15.8,15.3,15.8,15.35,15.35,3519200.0,54283000000.0
2025-02-27,FCN,15.95,15.55,15.75,15.8,15.8,1354700.0,21255000000.0
2025-02-26,FCN,16.25,15.75,16.05,15.75,15.75,1210700.0,19224000000.0
