date,HDB_code,HDB_high,HDB_low,HDB_open,HDB_close,HDB_adjust,HDB_volume_match,HDB_value_match
2025-06-16,HDB,21.7,21.45,21.55,0.0,21.65,2332200.0,21650.0
2025-06-13,HDB,21.75,21.35,21.6,21.6,21.6,10917900.0,235090970000.0
2025-06-12,HDB,21.8,21.45,21.5,21.75,21.75,8674000.0,187582185000.0
2025-06-11,HDB,21.55,21.35,21.55,21.4,21.4,6441200.0,138278910000.0
2025-06-10,HDB,21.75,21.4,21.5,21.5,21.5,8468900.0,182467065000.0
2025-06-09,HDB,21.8,21.45,21.8,21.45,21.45,6800200.0,147016665000.0
2025-06-06,HDB,21.8,21.45,21.55,21.8,21.8,8459900.0,182606370000.0
2025-06-05,HDB,21.9,21.55,21.85,21.65,21.65,8856700.0,192112035000.0
2025-06-04,HDB,22.0,21.75,21.95,21.85,21.85,6875500.0,150119120000.0
2025-06-03,HDB,22.05,21.6,21.65,21.85,21.85,8974600.0,196294215000.0
2025-06-02,HDB,21.75,21.4,21.55,21.6,21.6,8581300.0,184980855000.0
2025-05-30,HDB,22.15,21.7,22.1,21.7,21.7,11909000.0,260887055000.0
2025-05-29,HDB,22.55,22.05,22.3,22.05,22.05,11318800.0,252657880000.0
2025-05-28,HDB,22.7,22.25,22.65,22.25,22.25,11600500.0,259824035000.0
2025-05-27,HDB,22.75,22.5,22.6,22.6,22.6,9757700.0,220480800000.0
2025-05-26,HDB,22.6,22.15,22.2,22.6,22.6,20206400.0,452671280000.0
2025-05-23,HDB,22.25,22.0,22.1,22.1,22.1,6900600.0,152546545000.0
2025-05-22,HDB,22.35,22.05,22.2,22.05,22.05,11961400.0,265647480000.0
2025-05-21,HDB,22.7,22.2,22.3,22.4,22.4,10021100.0,224425885000.0
2025-05-20,HDB,22.4,22.0,22.0,22.3,22.3,12793500.0,284477135000.0
2025-05-19,HDB,22.3,21.65,21.85,22.0,22.0,13180500.0,291138620000.0
2025-05-16,HDB,22.3,21.95,22.25,21.95,21.95,6790700.0,149831665000.0
2025-05-15,HDB,22.4,21.95,22.15,22.25,22.25,11950400.0,265663165000.0
2025-05-14,HDB,22.25,21.85,21.85,22.2,22.2,12593800.0,277573765000.0
2025-05-13,HDB,22.1,21.6,21.6,21.8,21.8,12592000.0,275013110000.0
2025-05-12,HDB,21.5,21.15,21.15,21.5,21.5,11104300.0,236745160000.0
2025-05-09,HDB,21.3,21.1,21.25,21.2,21.2,6217300.0,131709780000.0
2025-05-08,HDB,21.4,20.95,21.0,21.25,21.25,9147200.0,193770640000.0
2025-05-07,HDB,21.3,20.9,21.15,20.95,20.95,11737700.0,247168880000.0
2025-05-06,HDB,21.5,21.15,21.25,21.25,21.25,7788000.0,165808390000.0
2025-05-05,HDB,21.55,21.15,21.5,21.2,21.2,7796700.0,166010680000.0
2025-04-29,HDB,21.55,21.2,21.45,21.45,21.45,6862700.0,146875000000.0
2025-04-28,HDB,21.5,21.1,21.4,21.5,21.5,7440900.0,158744000000.0
2025-04-25,HDB,21.3,20.9,21.25,21.25,21.25,14533500.0,306616000000.0
2025-04-24,HDB,21.25,20.7,20.8,21.25,21.25,13382600.0,280238000000.0
2025-04-23,HDB,20.75,20.35,20.5,20.35,20.35,9158800.0,187847000000.0
2025-04-22,HDB,20.4,19.15,20.3,20.3,20.3,12392100.0,246440000000.0
2025-04-21,HDB,20.9,20.4,20.8,20.4,20.4,8383100.0,172478000000.0
2025-04-18,HDB,20.95,20.8,20.8,20.8,20.8,7456700.0,155509000000.0
2025-04-17,HDB,20.7,20.35,20.6,20.7,20.7,8625000.0,177036000000.0
2025-04-16,HDB,20.85,20.45,20.6,20.65,20.65,6250400.0,128805000000.0
2025-04-15,HDB,21.05,20.5,20.75,20.55,20.55,12695100.0,262785000000.0
2025-04-14,HDB,21.3,20.95,21.3,21.0,21.0,11261200.0,237200000000.0
2025-04-11,HDB,20.8,19.9,20.7,20.7,20.7,16370600.0,333954000000.0
2025-04-10,HDB,19.45,19.45,19.45,19.45,19.45,231700.0,4506000000.0
2025-04-09,HDB,19.65,18.0,18.05,18.2,18.2,19245500.0,359171000000.0
2025-04-08,HDB,20.6,19.35,20.4,19.35,19.35,17300000.0,337715000000.0
2025-04-04,HDB,21.1,19.5,19.5,20.8,20.8,19444300.0,391534000000.0
2025-04-03,HDB,21.95,20.9,21.8,20.9,20.9,26249100.0,558671000000.0
2025-04-02,HDB,22.7,22.3,22.45,22.45,22.45,12189400.0,274089000000.0
2025-04-01,HDB,22.45,22.05,22.2,22.45,22.45,5803500.0,128790000000.0
2025-03-31,HDB,22.2,22.0,22.1,22.1,22.1,7904200.0,174574000000.0
2025-03-28,HDB,22.65,22.25,22.6,22.25,22.25,8945200.0,199982000000.0
2025-03-27,HDB,22.75,22.5,22.7,22.65,22.65,8182700.0,185194000000.0
2025-03-26,HDB,23.05,22.6,22.8,22.75,22.75,12167900.0,277571000000.0
2025-03-25,HDB,22.95,22.65,22.7,22.75,22.75,13384000.0,305122000000.0
