date,MBB_code,MBB_high,MBB_low,MBB_open,MBB_close,MBB_adjust,MBB_volume_match,MBB_value_match
2025-06-16,MBB,25.2,24.8,24.85,0.0,25.0,9891900.0,25000.0
2025-06-13,MBB,25.0,24.4,24.45,24.85,24.85,42299700.0,1048034090000.0
2025-06-12,MBB,24.7,24.3,24.3,24.7,24.7,22542900.0,554350030000.0
2025-06-11,MBB,24.3,24.15,24.2,24.25,24.25,6168900.0,149429970000.0
2025-06-10,MBB,24.55,24.1,24.3,24.2,24.2,12938200.0,314904650000.0
2025-06-09,MBB,24.3,24.1,24.15,24.25,24.25,13040400.0,315355635000.0
2025-06-06,MBB,24.4,24.15,24.35,24.15,24.15,17960800.0,435784685000.0
2025-06-05,MBB,24.65,24.4,24.55,24.4,24.4,9996800.0,244731630000.0
2025-06-04,MBB,24.8,24.5,24.75,24.55,24.55,13482700.0,331568035000.0
2025-06-03,MBB,24.8,24.65,24.65,24.7,24.7,19246400.0,475827680000.0
2025-06-02,MBB,24.7,24.15,24.45,24.6,24.6,19184300.0,466886170000.0
2025-05-30,MBB,24.65,24.35,24.65,24.35,24.35,17609800.0,430821265000.0
2025-05-29,MBB,24.75,24.45,24.75,24.5,24.5,12766600.0,313689860000.0
2025-05-28,MBB,24.85,24.55,24.85,24.6,24.6,14351800.0,353852375000.0
2025-05-27,MBB,25.0,24.65,25.0,24.75,24.75,17946800.0,445144920000.0
2025-05-26,MBB,24.8,24.0,24.7,24.8,24.8,18250000.0,446166205000.0
2025-05-23,MBB,24.9,24.55,24.9,24.65,24.65,14495200.0,357702795000.0
2025-05-22,MBB,25.35,24.5,25.35,24.65,24.65,25760800.0,643155725000.0
2025-05-21,MBB,25.55,24.85,25.2,25.05,25.05,30367300.0,763956385000.0
2025-05-20,MBB,25.1,24.5,24.7,24.85,24.85,31383600.0,779322365000.0
2025-05-19,MBB,24.9,24.35,24.5,24.6,24.6,25291500.0,623318205000.0
2025-05-16,MBB,25.15,24.65,25.15,24.65,24.65,28984500.0,718783200000.0
2025-05-15,MBB,25.45,24.6,24.6,25.05,25.05,69083100.0,1733567800000.0
2025-05-14,MBB,24.7,24.35,24.5,24.5,24.5,29669300.0,727070915000.0
2025-05-13,MBB,24.5,24.0,24.05,24.5,24.5,40093100.0,972892505000.0
2025-05-12,MBB,23.9,23.35,23.4,23.8,23.8,34696600.0,820479985000.0
2025-05-09,MBB,23.7,23.4,23.7,23.5,23.5,15034800.0,353433420000.0
2025-05-08,MBB,23.6,23.2,23.3,23.55,23.55,21016400.0,491610975000.0
2025-05-07,MBB,23.6,23.2,23.55,23.25,23.25,21893400.0,511506890000.0
2025-05-06,MBB,23.7,23.5,23.6,23.55,23.55,22793600.0,537897065000.0
2025-05-05,MBB,23.75,23.45,23.7,23.55,23.55,18857200.0,444392300000.0
2025-04-29,MBB,23.75,23.55,23.7,23.55,23.55,13178800.0,311419000000.0
2025-04-28,MBB,23.85,23.55,23.8,23.7,23.7,23070500.0,546196000000.0
2025-04-25,MBB,23.75,23.3,23.5,23.55,23.55,40711200.0,956836000000.0
2025-04-24,MBB,23.4,23.05,23.4,23.25,23.25,18099100.0,421015000000.0
2025-04-23,MBB,23.7,23.1,23.45,23.4,23.4,33860600.0,792239000000.0
2025-04-22,MBB,23.15,21.55,22.85,23.1,23.1,45375000.0,1024199000000.0
2025-04-21,MBB,23.5,22.8,23.5,22.95,22.95,37143800.0,857331000000.0
2025-04-18,MBB,23.45,23.05,23.1,23.25,23.25,31562900.0,733585000000.0
2025-04-17,MBB,23.0,22.6,22.7,23.0,23.0,21573500.0,491555000000.0
2025-04-16,MBB,23.25,22.75,23.0,22.9,22.9,21897000.0,503309000000.0
2025-04-15,MBB,23.4,22.9,23.0,23.0,23.0,29512300.0,681290000000.0
