date,MSB_code,MSB_high,MSB_low,MSB_open,MSB_close,MSB_adjust,MSB_volume_match,MSB_value_match
2025-06-16,MSB,12.3,11.95,11.95,0.0,12.15,8530100.0,12150.0
2025-06-13,MSB,12.0,11.7,11.75,11.95,11.95,20335900.0,241303610000.0
2025-06-12,MSB,12.0,11.65,11.7,11.9,11.9,14121100.0,166988890000.0
2025-06-11,MSB,11.75,11.6,11.65,11.65,11.65,4386300.0,51154605000.0
2025-06-10,MSB,11.7,11.55,11.7,11.65,11.65,4864600.0,56645380000.0
2025-06-09,MSB,11.65,11.5,11.6,11.55,11.55,4386400.0,50752080000.0
2025-06-06,MSB,11.75,11.6,11.65,11.6,11.6,7665300.0,89390835000.0
2025-06-05,MSB,11.75,11.6,11.75,11.65,11.65,4966700.0,58052845000.0
2025-06-04,MSB,11.9,11.7,11.8,11.75,11.75,6214600.0,73389375000.0
2025-06-03,MSB,11.9,11.6,11.65,11.8,11.8,9297100.0,109325275000.0
2025-06-02,MSB,11.6,11.5,11.55,11.55,11.55,5758200.0,66411850000.0
2025-05-30,MSB,11.75,11.55,11.7,11.55,11.55,5157400.0,59994825000.0
2025-05-29,MSB,11.8,11.65,11.7,11.7,11.7,4852200.0,56819510000.0
2025-05-28,MSB,11.8,11.6,11.8,11.65,11.65,6681500.0,78169730000.0
2025-05-27,MSB,11.9,11.65,11.75,11.7,11.7,5597700.0,65775760000.0
2025-05-26,MSB,11.7,11.5,11.65,11.65,11.65,7938700.0,91982655000.0
2025-05-23,MSB,11.75,11.6,11.65,11.6,11.6,4063400.0,47314585000.0
2025-05-22,MSB,11.85,11.65,11.85,11.65,11.65,7875200.0,92468200000.0
2025-05-21,MSB,12.05,11.7,11.95,11.85,11.85,12521800.0,148423965000.0
2025-05-20,MSB,11.95,11.6,11.7,11.85,11.85,12940000.0,152770105000.0
2025-05-19,MSB,11.85,11.6,11.7,11.65,11.65,6592700.0,77241770000.0
2025-05-16,MSB,12.05,11.7,12.0,11.75,11.75,9433700.0,111660600000.0
2025-05-15,MSB,12.0,11.6,11.6,12.0,12.0,21065200.0,249158220000.0
2025-05-14,MSB,11.6,11.45,11.45,11.55,11.55,10997400.0,126653710000.0
2025-05-13,MSB,11.5,11.4,11.5,11.45,11.45,6961400.0,79729080000.0
2025-05-12,MSB,11.45,11.25,11.35,11.4,11.4,8577200.0,97313290000.0
2025-05-09,MSB,11.4,11.25,11.4,11.3,11.3,3417900.0,38621215000.0
2025-05-08,MSB,11.4,11.2,11.2,11.35,11.35,8400300.0,94733840000.0
2025-05-07,MSB,11.3,11.15,11.25,11.2,11.2,8951100.0,100469020000.0
2025-05-06,MSB,11.35,11.2,11.25,11.25,11.25,4937800.0,55699400000.0
2025-05-05,MSB,11.35,11.2,11.25,11.25,11.25,3341600.0,37484220000.0
2025-04-29,MSB,11.25,11.2,11.25,11.2,11.2,2328400.0,26092000000.0
2025-04-28,MSB,11.4,11.2,11.35,11.25,11.25,2432400.0,27376000000.0
2025-04-25,MSB,11.35,11.25,11.35,11.3,11.3,6097200.0,68811000000.0
2025-04-24,MSB,11.4,11.2,11.4,11.35,11.35,5005000.0,56484000000.0
2025-04-23,MSB,11.45,11.25,11.25,11.35,11.35,9641800.0,109244000000.0
