date,TCB_code,TCB_high,TCB_low,TCB_open,TCB_close,TCB_adjust,TCB_volume_match,TCB_value_match
2025-05-22,TCB,31.2,30.65,30.65,0.0,31.0,8983100.0,31000.0
2025-05-21,TCB,31.4,30.7,31.0,30.9,30.9,19486900.0,602841290000.0
2025-05-20,TCB,31.1,29.5,29.5,30.95,30.95,38192300.0,1164862665000.0
2025-05-19,TCB,29.95,29.1,29.2,29.5,29.5,20464800.0,604636620000.0
2025-05-16,TCB,29.9,29.25,29.9,29.45,29.45,20031000.0,591283860000.0
2025-05-15,TCB,30.2,29.55,29.9,29.9,29.9,17783500.0,531107440000.0
2025-05-14,TCB,30.5,29.3,29.35,29.85,29.85,19728500.0,589930685000.0
2025-05-13,TCB,29.7,29.15,29.5,29.4,29.4,13206500.0,388004250000.0
2025-05-12,TCB,29.45,27.6,27.65,29.4,29.4,46701100.0,1337047940000.0
2025-05-09,TCB,28.0,27.25,27.3,27.6,27.6,18296500.0,504767450000.0
2025-05-08,TCB,27.45,26.85,27.05,27.4,27.4,18382100.0,499820105000.0
2025-05-07,TCB,27.1,26.6,26.85,27.0,27.0,13694100.0,368018090000.0
2025-05-06,TCB,27.2,26.4,26.5,26.85,26.85,24407100.0,656492195000.0
2025-05-05,TCB,26.65,26.15,26.65,26.5,26.5,9048300.0,238251725000.0
2025-04-29,TCB,26.6,26.0,26.0,26.3,26.3,18134300.0,478199000000.0
2025-04-28,TCB,26.1,25.8,26.0,26.0,26.0,11163200.0,289669000000.0
2025-04-25,TCB,26.05,25.4,25.95,25.95,25.95,19491800.0,502618000000.0
2025-04-24,TCB,26.1,25.7,26.0,25.75,25.75,8915900.0,230498000000.0
2025-04-23,TCB,26.3,25.15,25.75,26.1,26.1,18232600.0,469056000000.0
2025-04-22,TCB,25.65,23.95,25.25,25.15,25.15,29523500.0,734185000000.0
2025-04-21,TCB,26.3,25.6,26.0,25.75,25.75,12192200.0,315465000000.0
2025-04-18,TCB,26.5,26.0,26.5,26.0,26.0,16887000.0,442863000000.0
2025-04-17,TCB,26.0,25.55,25.6,26.0,26.0,14259300.0,367481000000.0
2025-04-16,TCB,26.45,25.75,26.15,25.8,25.8,18147100.0,472678000000.0
2025-04-15,TCB,26.35,25.8,26.05,26.0,26.0,21183400.0,551722000000.0
2025-04-14,TCB,26.7,26.1,26.6,26.55,26.55,19905300.0,525253000000.0
2025-04-11,TCB,26.6,25.6,26.5,26.6,26.6,47940500.0,1254687000000.0
2025-04-10,TCB,25.25,25.25,25.25,25.25,25.25,1241800.0,31355000000.0
2025-04-09,TCB,24.9,22.3,22.3,23.6,23.6,40792200.0,965677000000.0
2025-04-08,TCB,25.0,23.95,25.0,23.95,23.95,33465800.0,805508000000.0
2025-04-04,TCB,25.75,24.15,24.15,25.7,25.7,56795800.0,1413050000000.0
2025-04-03,TCB,27.2,25.95,26.95,25.95,25.95,58893200.0,1554360000000.0
2025-04-02,TCB,28.15,27.85,28.0,27.9,27.9,6668600.0,186553000000.0
2025-04-01,TCB,28.0,27.4,27.5,27.95,27.95,9054500.0,250367000000.0
2025-03-31,TCB,27.5,27.2,27.4,27.5,27.5,12983300.0,354920000000.0
2025-03-28,TCB,27.8,27.45,27.75,27.55,27.55,12353600.0,340471000000.0
2025-03-27,TCB,28.15,27.75,28.0,27.75,27.75,7518900.0,210396000000.0
2025-03-26,TCB,28.5,27.8,27.9,28.0,28.0,24089300.0,680049000000.0
2025-03-25,TCB,28.2,27.85,28.1,27.9,27.9,8130100.0,227347000000.0
2025-03-24,TCB,28.2,27.2,27.35,28.0,28.0,21083700.0,586338000000.0
2025-03-21,TCB,27.55,27.3,27.35,27.35,27.35,7447300.0,204140000000.0
2025-03-20,TCB,27.55,27.1,27.5,27.45,27.45,14430700.0,393928000000.0
2025-03-19,TCB,27.35,27.15,27.3,27.25,27.25,12083700.0,329387000000.0
2025-03-18,TCB,27.6,27.3,27.5,27.4,27.4,7945400.0,217787000000.0
2025-03-17,TCB,27.45,27.15,27.35,27.45,27.45,11002100.0,300448000000.0
2025-03-14,TCB,27.4,27.1,27.1,27.3,27.3,10662000.0,290894000000.0
2025-03-13,TCB,27.8,27.25,27.8,27.3,27.3,18991700.0,523047000000.0
2025-03-12,TCB,28.25,27.8,28.1,27.85,27.85,10861400.0,303651000000.0
2025-03-11,TCB,28.0,27.45,27.5,28.0,28.0,15313400.0,423731000000.0
2025-03-10,TCB,28.3,27.7,27.75,27.8,27.8,13907700.0,388531000000.0
2025-03-07,TCB,27.9,27.45,27.7,27.75,27.75,14922200.0,413058000000.0
2025-03-06,TCB,27.7,27.35,27.45,27.7,27.7,12570100.0,346009000000.0
2025-03-05,TCB,27.6,27.3,27.5,27.3,27.3,13269400.0,363718000000.0
