date,TPB_code,TPB_high,TPB_low,TPB_open,TPB_close,TPB_adjust,TPB_volume_match,TPB_value_match
2025-06-16,TPB,13.35,13.15,13.2,0.0,13.3,3216800.0,13300.0
2025-06-13,TPB,13.3,13.1,13.2,13.2,13.2,15361500.0,202643835000.0
2025-06-12,TPB,13.35,13.2,13.25,13.3,13.3,7342100.0,97496640000.0
2025-06-11,TPB,13.35,13.05,13.1,13.25,13.25,9199300.0,121650630000.0
2025-06-10,TPB,13.15,13.0,13.05,13.05,13.05,4591700.0,60111175000.0
2025-06-09,TPB,13.15,13.0,13.1,13.05,13.05,5645200.0,73765620000.0
2025-06-06,TPB,13.2,13.05,13.15,13.1,13.1,6755000.0,88583665000.0
2025-06-05,TPB,13.2,13.1,13.2,13.15,13.15,4778700.0,62777965000.0
2025-06-04,TPB,13.3,13.1,13.25,13.1,13.1,8553600.0,112748235000.0
2025-06-03,TPB,13.3,13.15,13.15,13.25,13.25,7560600.0,99922540000.0
2025-06-02,TPB,13.15,12.75,12.9,13.1,13.1,21637900.0,280240420000.0
2025-05-30,TPB,13.45,13.2,13.4,13.25,13.25,7899800.0,105225090000.0
2025-05-29,TPB,13.45,13.35,13.4,13.4,13.4,7026200.0,94009675000.0
2025-05-28,TPB,13.5,13.3,13.4,13.35,13.35,8508800.0,114039015000.0
2025-05-27,TPB,13.45,13.0,13.35,13.35,13.35,11170500.0,148742620000.0
2025-05-26,TPB,13.4,13.0,13.3,13.35,13.35,9088300.0,119849800000.0
2025-05-23,TPB,13.35,13.15,13.3,13.25,13.25,9575500.0,126807735000.0
2025-05-22,TPB,13.5,13.25,13.45,13.3,13.3,15410500.0,206022525000.0
2025-05-21,TPB,13.75,13.45,13.5,13.5,13.5,15401200.0,208830245000.0
2025-05-20,TPB,13.55,13.35,13.45,13.5,13.5,10472800.0,140946470000.0
2025-05-19,TPB,13.55,13.4,13.5,13.45,13.45,8525600.0,114940360000.0
2025-05-16,TPB,13.75,13.55,13.7,13.6,13.6,8585600.0,116968215000.0
2025-05-15,TPB,13.9,13.55,13.8,13.75,13.75,14236200.0,194965565000.0
2025-05-14,TPB,13.8,13.6,13.65,13.8,13.8,14763500.0,202040730000.0
2025-05-13,TPB,13.95,13.5,13.95,13.6,13.6,18602700.0,254299495000.0
2025-05-12,TPB,14.8,14.1,14.15,14.75,14.75,34278300.0,497546250000.0
2025-05-09,TPB,14.2,14.0,14.2,14.05,14.05,17752400.0,249657860000.0
2025-05-08,TPB,14.15,13.95,13.95,14.05,14.05,17146100.0,240714820000.0
2025-05-07,TPB,14.0,13.8,14.0,13.9,13.9,12153500.0,169056925000.0
2025-05-06,TPB,13.95,13.5,13.5,13.8,13.8,14692900.0,202079950000.0
2025-05-05,TPB,13.75,13.55,13.7,13.6,13.6,4493800.0,61273330000.0
2025-04-29,TPB,13.65,13.5,13.55,13.6,13.6,7014500.0,95136000000.0
2025-04-28,TPB,13.6,13.4,13.6,13.5,13.5,8453300.0,114102000000.0
2025-04-25,TPB,13.6,13.4,13.55,13.4,13.4,14038800.0,189511000000.0
2025-04-24,TPB,13.6,13.35,13.55,13.45,13.45,6904700.0,93095000000.0
2025-04-23,TPB,13.7,13.45,13.7,13.5,13.5,8547800.0,115987000000.0
2025-04-22,TPB,13.55,13.0,13.4,13.4,13.4,24165100.0,321057000000.0
2025-04-21,TPB,13.75,13.4,13.5,13.55,13.55,15956100.0,216440000000.0
2025-04-18,TPB,13.35,13.1,13.1,13.2,13.2,12414900.0,163926000000.0
2025-04-17,TPB,13.1,12.85,12.9,13.1,13.1,9430300.0,122302000000.0
2025-04-16,TPB,13.0,12.75,12.75,12.95,12.95,8419500.0,108611000000.0
2025-04-15,TPB,13.1,12.75,13.05,12.8,12.8,11188200.0,143830000000.0
2025-04-14,TPB,13.3,12.95,13.25,13.05,13.05,13386500.0,175067000000.0
2025-04-11,TPB,13.35,12.75,13.35,13.2,13.2,26108300.0,340968000000.0
2025-04-10,TPB,12.5,12.5,12.5,12.5,12.5,1277800.0,15972000000.0
2025-04-09,TPB,12.45,11.1,11.1,11.7,11.7,30873400.0,365121000000.0
2025-04-08,TPB,12.5,11.9,12.4,11.9,11.9,30397700.0,365101000000.0
2025-04-04,TPB,12.95,12.4,12.4,12.75,12.75,42676000.0,535573000000.0
2025-04-03,TPB,14.0,13.3,13.4,13.3,13.3,52438800.0,701487000000.0
2025-04-02,TPB,14.4,14.2,14.3,14.25,14.25,11850800.0,169148000000.0
2025-04-01,TPB,14.45,14.25,14.4,14.3,14.3,7873900.0,112662000000.0
2025-03-31,TPB,14.5,14.2,14.2,14.3,14.3,12035800.0,172145000000.0
2025-03-28,TPB,14.4,14.2,14.35,14.2,14.2,9629500.0,137362000000.0
2025-03-27,TPB,14.6,14.2,14.5,14.3,14.3,19566700.0,281052000000.0
2025-03-26,TPB,14.85,14.45,14.8,14.5,14.5,18645400.0,272164000000.0
2025-03-25,TPB,15.0,14.55,14.55,14.8,14.8,18398200.0,272570000000.0
2025-03-24,TPB,14.95,14.45,14.7,14.5,14.5,29368600.0,430727000000.0
2025-03-21,TPB,15.2,14.6,15.0,14.75,14.75,38265700.0,568811000000.0
2025-03-20,TPB,16.1,15.0,16.05,15.2,15.2,80976700.0,1249036000000.0
2025-03-19,TPB,16.3,16.0,16.25,16.05,16.05,17889400.0,287929000000.0
2025-03-18,TPB,16.4,16.2,16.4,16.25,16.25,5575000.0,90878000000.0
2025-03-17,TPB,16.45,16.05,16.15,16.35,16.35,14569500.0,237595000000.0
2025-03-14,TPB,16.15,16.0,16.05,16.1,16.1,10218600.0,164097000000.0
2025-03-13,TPB,16.2,16.05,16.15,16.05,16.05,9950000.0,160320000000.0
2025-03-12,TPB,16.3,16.1,16.25,16.15,16.15,8865400.0,143427000000.0
2025-03-11,TPB,16.25,16.05,16.1,16.25,16.25,9436300.0,152519000000.0
2025-03-10,TPB,16.45,16.2,16.35,16.2,16.2,12081100.0,197084000000.0
2025-03-07,TPB,16.45,16.2,16.2,16.35,16.35,18976100.0,310359000000.0
2025-03-06,TPB,16.25,16.05,16.1,16.2,16.2,17481600.0,282093000000.0
2025-03-05,TPB,16.4,16.1,16.25,16.1,16.1,15091100.0,244978000000.0
2025-03-04,TPB,16.35,16.1,16.2,16.2,16.2,20875800.0,338087000000.0
2025-03-03,TPB,16.45,16.1,16.4,16.2,16.2,61853300.0,1003856000000.0
2025-02-28,TPB,16.9,16.7,16.85,16.7,16.7,20436100.0,342934000000.0
2025-02-27,TPB,17.05,16.8,17.0,16.9,16.9,18061000.0,305437000000.0
2025-02-26,TPB,17.1,16.9,17.1,16.95,16.95,12927200.0,219409000000.0
2025-02-25,TPB,17.15,16.9,17.15,16.95,16.95,15150600.0,257564000000.0
2025-02-24,TPB,17.15,16.9,17.0,17.05,17.05,12868200.0,219023000000.0
2025-02-21,TPB,17.15,16.9,17.15,17.0,17.0,9998800.0,170216000000.0
2025-02-20,TPB,17.25,16.95,17.0,17.1,17.1,17107500.0,292464000000.0
2025-02-19,TPB,17.0,16.85,16.95,17.0,17.0,8589200.0,145588000000.0
2025-02-18,TPB,17.05,16.8,16.85,16.9,16.9,9227100.0,156055000000.0
2025-02-17,TPB,17.0,16.8,16.9,16.85,16.85,8521000.0,143813000000.0
2025-02-14,TPB,17.15,16.9,17.0,16.9,16.9,9816600.0,166855000000.0
2025-02-13,TPB,16.95,16.75,16.85,16.9,16.9,7949000.0,134071000000.0
2025-02-12,TPB,17.1,16.8,17.1,16.85,16.85,7638400.0,129212000000.0
2025-02-11,TPB,17.2,16.75,16.75,17.0,17.0,42514000.0,722948000000.0
2025-02-10,TPB,16.85,16.35,16.5,16.75,16.75,17700200.0,294877000000.0
2025-02-07,TPB,16.8,16.45,16.65,16.55,16.55,10057900.0,167112000000.0
2025-02-06,TPB,16.9,16.5,16.7,16.55,16.55,8814900.0,147309000000.0
2025-02-05,TPB,16.7,16.45,16.6,16.6,16.6,8947000.0,148444000000.0
2025-02-04,TPB,16.6,16.15,16.25,16.55,16.55,10936200.0,179625000000.0
2025-01-24,TPB,16.5,16.3,16.3,16.45,16.45,8382700.0,137783000000.0
2025-01-23,TPB,16.4,16.1,16.25,16.35,16.35,6159900.0,100306000000.0
2025-01-22,TPB,16.3,16.1,16.3,16.1,16.1,5141700.0,83106000000.0
2025-01-21,TPB,16.5,16.2,16.5,16.2,16.2,5404500.0,88037000000.0
2025-01-20,TPB,16.45,16.2,16.25,16.4,16.4,6756100.0,110373000000.0
