date,VCB_code,VCB_high,VCB_low,VCB_open,VCB_close,VCB_adjust,VCB_volume_match,VCB_value_match
2025-05-22,VCB,57.3,57.0,57.1,0.0,57.2,1748500.0,57200.0
2025-05-21,VCB,57.9,57.0,57.5,57.1,57.1,5161800.0,295685080000.0
2025-05-20,VCB,57.4,56.8,57.0,57.1,57.1,3867000.0,220643890000.0
2025-05-19,VCB,57.6,57.0,57.4,57.0,57.0,4784400.0,273967290000.0
2025-05-16,VCB,59.0,57.5,58.8,57.5,57.5,8364800.0,485712850000.0
2025-05-15,VCB,59.8,58.7,59.3,58.7,58.7,8070600.0,477602950000.0
2025-05-14,VCB,58.8,57.2,57.2,58.7,58.7,8014200.0,468324100000.0
2025-05-13,VCB,57.3,56.6,57.1,56.8,56.8,7392600.0,420863580000.0
2025-05-12,VCB,57.3,56.2,57.0,56.6,56.6,5992500.0,340176650000.0
2025-05-09,VCB,57.6,56.6,57.3,56.6,56.6,5827400.0,331930360000.0
2025-05-08,VCB,57.7,56.9,57.4,57.1,57.1,3022300.0,172818110000.0
2025-05-07,VCB,57.5,57.0,57.1,57.0,57.0,2415400.0,138076790000.0
2025-05-06,VCB,58.0,57.0,57.3,57.0,57.0,2992900.0,171750910000.0
2025-05-05,VCB,58.0,57.0,57.6,57.1,57.1,2101500.0,120460830000.0
2025-04-29,VCB,58.5,57.3,57.7,57.3,57.3,2432200.0,140392000000.0
2025-04-28,VCB,58.3,57.5,57.7,57.5,57.5,1654600.0,95646000000.0
2025-04-25,VCB,59.0,57.5,58.2,57.5,57.5,3682000.0,213835000000.0
2025-04-24,VCB,58.6,58.0,58.2,58.2,58.2,1861200.0,108531000000.0
2025-04-23,VCB,59.4,58.0,59.4,58.0,58.0,1928700.0,113122000000.0
2025-04-22,VCB,58.8,54.7,58.1,58.5,58.5,3850700.0,219387000000.0
2025-04-21,VCB,58.9,58.1,58.5,58.2,58.2,1290500.0,75319000000.0
2025-04-18,VCB,59.6,58.1,58.7,58.1,58.1,2165400.0,127856000000.0
2025-04-17,VCB,59.3,58.1,59.3,58.1,58.1,3151800.0,184466000000.0
2025-04-16,VCB,60.3,59.0,59.7,59.3,59.3,2625800.0,156230000000.0
2025-04-15,VCB,60.9,58.3,59.1,60.0,60.0,5633100.0,337662000000.0
2025-04-14,VCB,60.0,58.7,60.0,59.3,59.3,3619500.0,214830000000.0
2025-04-11,VCB,59.9,58.0,59.8,59.8,59.8,8059500.0,476849000000.0
2025-04-10,VCB,56.1,56.1,56.1,56.1,56.1,174400.0,9783000000.0
2025-04-09,VCB,59.7,52.0,52.0,52.5,52.5,8995800.0,491664000000.0
