date,VPB_code,VPB_high,VPB_low,VPB_open,VPB_close,VPB_adjust,VPB_volume_match,VPB_value_match
2025-06-16,VPB,18.6,18.15,18.15,0.0,18.5,31058100.0,18500.0
2025-06-13,VPB,18.4,17.9,18.05,18.15,18.15,29219800.0,530373130000.0
2025-06-12,VPB,18.3,18.05,18.05,18.2,18.2,21883000.0,397182320000.0
2025-06-11,VPB,18.05,17.9,18.05,18.0,18.0,6795100.0,122170985000.0
2025-06-10,VPB,18.2,17.85,17.9,17.95,17.95,20277000.0,365404865000.0
2025-06-09,VPB,17.9,17.65,17.75,17.85,17.85,14015700.0,249026190000.0
2025-06-06,VPB,18.1,17.8,18.1,17.8,17.8,20106300.0,360408850000.0
2025-06-05,VPB,18.4,18.05,18.2,18.1,18.1,12655700.0,230553790000.0
2025-06-04,VPB,18.55,18.2,18.3,18.25,18.25,41724400.0,767015855000.0
2025-06-03,VPB,18.4,18.0,18.1,18.3,18.3,22863000.0,417587485000.0
2025-06-02,VPB,18.15,17.8,17.95,18.0,18.0,13488800.0,242012665000.0
2025-05-30,VPB,18.3,17.9,18.25,17.95,17.95,11859100.0,214053000000.0
2025-05-29,VPB,18.55,18.0,18.1,18.15,18.15,46408000.0,852119500000.0
2025-05-28,VPB,18.3,18.0,18.2,18.0,18.0,13063100.0,236266065000.0
2025-05-27,VPB,18.3,18.05,18.15,18.1,18.1,22988200.0,417313070000.0
2025-05-26,VPB,18.2,17.3,18.1,18.15,18.15,24583500.0,441710110000.0
2025-05-23,VPB,18.35,18.1,18.25,18.1,18.1,14934100.0,271625085000.0
2025-05-22,VPB,18.7,18.2,18.5,18.3,18.3,40934700.0,757287375000.0
2025-05-21,VPB,18.8,18.25,18.3,18.45,18.45,68308300.0,1268905665000.0
2025-05-20,VPB,18.55,18.15,18.2,18.2,18.2,27838100.0,510800555000.0
2025-05-19,VPB,18.85,17.8,18.0,18.2,18.2,64648000.0,1193641725000.0
2025-05-16,VPB,18.7,18.05,18.35,18.05,18.05,37978200.0,694393955000.0
2025-05-15,VPB,18.8,18.25,18.65,18.55,18.55,55071300.0,1019131635000.0
2025-05-14,VPB,18.9,17.75,17.8,18.9,18.4,95581000.0,1755849990000.0
2025-05-13,VPB,17.7,17.45,17.6,17.7,17.23,27752400.0,488621680000.0
2025-05-12,VPB,17.45,16.95,17.1,17.35,16.89,36530800.0,628724290000.0
2025-05-09,VPB,17.25,16.9,17.1,17.0,16.55,17694500.0,301824100000.0
2025-05-08,VPB,17.2,16.95,17.1,17.0,16.55,15414400.0,262857920000.0
2025-05-07,VPB,17.0,16.8,16.9,17.0,16.55,10235800.0,173151995000.0
2025-05-06,VPB,17.2,16.65,16.7,16.9,16.45,25315800.0,430942685000.0
2025-05-05,VPB,16.75,16.5,16.65,16.6,16.16,7593000.0,125932190000.0
2025-04-29,VPB,16.7,16.5,16.6,16.55,16.11,14256100.0,236189000000.0
2025-04-28,VPB,16.7,16.5,16.7,16.55,16.11,9938200.0,164639000000.0
2025-04-25,VPB,16.75,16.45,16.7,16.5,16.06,24808000.0,411097000000.0
2025-04-24,VPB,16.95,16.65,16.8,16.65,16.21,12820700.0,215479000000.0
2025-04-23,VPB,17.0,16.7,17.0,16.7,16.26,10954900.0,184594000000.0
2025-04-22,VPB,16.8,15.55,16.6,16.6,16.16,30670500.0,491303000000.0
2025-04-21,VPB,17.05,16.7,16.9,16.7,16.26,12080600.0,203153000000.0
2025-04-18,VPB,17.25,16.65,16.65,16.95,16.5,16480100.0,279670000000.0
2025-04-17,VPB,16.8,16.35,16.8,16.55,16.11,21615700.0,357430000000.0
2025-04-16,VPB,17.0,16.7,16.85,16.8,16.35,13818200.0,232543000000.0
2025-04-15,VPB,17.25,16.85,17.2,16.9,16.45,19615100.0,333755000000.0
2025-04-14,VPB,17.7,17.25,17.5,17.3,16.84,28905800.0,504727000000.0
2025-04-11,VPB,17.65,16.8,17.0,17.45,16.99,60038400.0,1034055000000.0
2025-04-10,VPB,17.05,17.05,17.05,17.05,16.6,1665400.0,28395000000.0
2025-04-09,VPB,16.5,15.15,15.2,15.95,15.53,56107800.0,879768000000.0
2025-04-08,VPB,17.2,16.25,17.0,16.25,15.82,24697900.0,403512000000.0
2025-04-04,VPB,17.45,16.65,16.8,17.45,16.99,46810000.0,792056000000.0
2025-04-03,VPB,18.55,17.85,18.2,17.85,17.38,40611200.0,734194000000.0
2025-04-02,VPB,19.35,19.1,19.15,19.15,18.64,11401400.0,218970000000.0
2025-04-01,VPB,19.2,19.0,19.15,19.15,18.64,8728300.0,166586000000.0
2025-03-31,VPB,19.25,19.0,19.15,19.0,18.5,14764100.0,281730000000.0
2025-03-28,VPB,19.4,19.2,19.25,19.25,18.74,11134300.0,214456000000.0
2025-03-27,VPB,19.45,19.25,19.25,19.25,18.74,6689600.0,129232000000.0
2025-03-26,VPB,19.65,19.3,19.5,19.35,18.84,9453500.0,184038000000.0
2025-03-25,VPB,19.7,19.45,19.65,19.5,18.98,11786900.0,230213000000.0
2025-03-24,VPB,19.65,19.25,19.5,19.6,19.08,16805100.0,327007000000.0
2025-03-21,VPB,19.65,19.4,19.6,19.5,18.98,9370100.0,182560000000.0
2025-03-20,VPB,19.7,19.4,19.6,19.6,19.08,18739400.0,365842000000.0
2025-03-19,VPB,19.75,19.4,19.75,19.45,18.93,29438700.0,575254000000.0
2025-03-18,VPB,20.3,19.8,20.25,19.8,19.28,25977100.0,518991000000.0
2025-03-17,VPB,20.4,19.6,19.75,20.2,19.66,71545100.0,1437025000000.0
2025-03-14,VPB,19.6,19.2,19.3,19.6,19.08,17673600.0,343681000000.0
2025-03-13,VPB,19.65,19.2,19.65,19.25,18.74,16157500.0,313571000000.0
2025-03-12,VPB,19.8,19.5,19.8,19.6,19.08,27171700.0,534138000000.0
2025-03-11,VPB,19.75,19.2,19.25,19.7,19.18,37545200.0,732737000000.0
2025-03-10,VPB,19.65,19.3,19.4,19.4,18.89,34122100.0,666027000000.0
2025-03-07,VPB,19.45,19.15,19.2,19.25,18.74,20716400.0,400178000000.0
2025-03-06,VPB,19.35,19.05,19.05,19.15,18.64,20891200.0,401534000000.0
2025-03-05,VPB,19.35,19.0,19.1,19.0,18.5,16030300.0,307153000000.0
2025-03-04,VPB,19.2,18.95,19.1,19.1,18.59,19237100.0,366552000000.0
2025-03-03,VPB,19.35,19.1,19.35,19.2,18.69,9400800.0,180522000000.0
2025-02-28,VPB,19.4,19.1,19.1,19.3,18.79,9236600.0,177862000000.0
2025-02-27,VPB,19.35,19.05,19.25,19.3,18.79,9546600.0,183194000000.0
2025-02-26,VPB,19.4,19.25,19.35,19.25,18.74,11212100.0,216514000000.0
2025-02-25,VPB,19.6,19.25,19.55,19.35,18.84,14015500.0,271920000000.0
2025-02-24,VPB,19.55,19.2,19.4,19.55,19.03,22721400.0,441627000000.0
2025-02-21,VPB,19.6,19.05,19.15,19.45,18.93,42288600.0,820461000000.0
2025-02-20,VPB,19.3,19.0,19.1,19.2,18.69,18762900.0,359335000000.0
2025-02-19,VPB,19.1,18.95,19.0,19.05,18.55,9257700.0,176094000000.0
2025-02-18,VPB,19.2,18.75,18.85,18.95,18.45,18113100.0,345523000000.0
2025-02-17,VPB,19.1,18.85,19.0,18.85,18.35,11944500.0,226502000000.0
2025-02-14,VPB,19.15,19.0,19.1,19.0,18.5,11535000.0,219740000000.0
2025-02-13,VPB,19.0,18.8,18.9,18.9,18.4,8322600.0,157194000000.0
2025-02-12,VPB,19.1,18.8,19.0,18.9,18.4,7800900.0,147986000000.0
2025-02-11,VPB,19.15,18.8,18.85,18.9,18.4,20352000.0,386930000000.0
2025-02-10,VPB,19.1,18.75,18.9,18.85,18.35,13500000.0,254954000000.0
2025-02-07,VPB,19.2,18.9,18.95,18.95,18.45,8925500.0,169567000000.0
2025-02-06,VPB,19.2,18.95,19.1,19.05,18.55,9985800.0,190535000000.0
2025-02-05,VPB,19.1,18.75,18.75,19.05,18.55,12836500.0,243110000000.0
2025-02-04,VPB,18.8,18.55,18.75,18.75,18.25,11820000.0,220679000000.0
2025-01-24,VPB,19.0,18.8,18.9,18.9,18.4,11206200.0,212013000000.0
2025-01-23,VPB,18.9,18.4,18.5,18.9,18.4,26477400.0,497629000000.0
2025-01-22,VPB,18.5,18.25,18.4,18.35,17.86,10799900.0,198431000000.0
2025-01-21,VPB,18.5,18.25,18.5,18.4,17.91,11084100.0,203571000000.0
2025-01-20,VPB,18.55,18.35,18.4,18.4,17.91,6430800.0,118661000000.0
2025-01-17,VPB,18.45,18.3,18.4,18.45,17.96,4423700.0,81278000000.0
2025-01-16,VPB,18.5,18.2,18.5,18.4,17.91,9492000.0,174117000000.0
2025-01-15,VPB,18.5,18.2,18.3,18.4,17.91,5618700.0,103172000000.0
2025-01-14,VPB,18.35,18.05,18.25,18.15,17.67,11010000.0,200092000000.0
2025-01-13,VPB,18.5,18.25,18.45,18.3,17.82,8588900.0,157764000000.0
2025-01-10,VPB,18.75,18.45,18.7,18.5,18.01,6522500.0,121272000000.0
2025-01-09,VPB,18.9,18.65,18.9,18.7,18.2,3978900.0,74492000000.0
2025-01-08,VPB,18.9,18.65,18.7,18.85,18.35,4829800.0,90594000000.0
2025-01-07,VPB,18.9,18.7,18.85,18.7,18.2,6745900.0,126842000000.0
2025-01-06,VPB,18.9,18.7,18.75,18.8,18.3,6917300.0,130172000000.0
2025-01-03,VPB,19.1,18.75,19.1,18.75,18.25,10601500.0,200056000000.0
2025-01-02,VPB,19.2,18.95,19.1,19.15,18.64,8363400.0,159431000000.0
2024-12-31,VPB,19.25,19.05,19.25,19.2,18.69,8163800.0,156367000000.0
2024-12-30,VPB,19.25,19.1,19.2,19.25,18.74,6678700.0,128112000000.0
2024-12-27,VPB,19.35,19.1,19.2,19.25,18.74,16560300.0,318710000000.0
2024-12-26,VPB,19.3,19.05,19.25,19.25,18.74,8211900.0,157573000000.0
2024-12-25,VPB,19.3,18.8,18.95,19.2,18.69,14786600.0,283226000000.0
2024-12-24,VPB,19.0,18.75,18.95,18.95,18.45,5918600.0,111494000000.0
2024-12-23,VPB,19.15,18.9,18.95,18.95,18.45,7737800.0,146858000000.0
2024-12-20,VPB,18.9,18.65,18.8,18.9,18.4,6638600.0,124657000000.0
2024-12-19,VPB,18.95,18.6,18.95,18.8,18.3,21112100.0,396073000000.0
2024-12-18,VPB,19.1,18.95,19.0,19.0,18.5,4843000.0,92072000000.0
2024-12-17,VPB,19.15,18.95,19.1,18.95,18.45,8186500.0,155606000000.0
2024-12-16,VPB,19.2,19.0,19.15,19.1,18.59,6791900.0,129625000000.0
2024-12-13,VPB,19.3,19.1,19.2,19.15,18.64,7750600.0,148718000000.0
2024-12-12,VPB,19.55,19.15,19.25,19.3,18.79,23034300.0,447406000000.0
2024-12-11,VPB,19.3,19.05,19.25,19.25,18.74,13262400.0,254519000000.0
2024-12-10,VPB,19.45,19.2,19.4,19.25,18.74,7241900.0,139795000000.0
2024-12-09,VPB,19.55,19.2,19.25,19.4,18.89,19955200.0,387804000000.0
2024-12-06,VPB,19.5,19.3,19.5,19.35,18.84,11632800.0,225336000000.0
2024-12-05,VPB,19.5,18.8,19.0,19.5,18.98,31488800.0,607903000000.0
2024-12-04,VPB,19.15,18.95,19.05,19.0,18.5,8458600.0,160724000000.0
2024-12-03,VPB,19.2,19.0,19.15,19.2,18.69,10874600.0,207641000000.0
2024-12-02,VPB,19.3,19.1,19.3,19.2,18.69,6324600.0,121242000000.0
2024-11-29,VPB,19.2,19.0,19.15,19.15,18.64,6008400.0,114926000000.0
2024-11-28,VPB,19.35,19.05,19.2,19.05,18.55,11978600.0,230055000000.0
